player,season,tm,pos,g,gs,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,ft_percent,orb,trb,ast,stl,blk,tov,pf,pts,avg_mp,avg_fg,avg_fga,avg_3p,avg_3pa,avg_2p,avg_2pa,avg_ft,avg_fta,avg_pts,avg_orb,avg_trb,avg_ast,avg_blk,avg_stl,avg_tov,avg_pf
Alex Bentley,2013,ATL,G,34,10,753,113,284,0.398,28,85,0.329,85,199,0.427,0.447,27,38,0.711,11,48,95,34,3,39,77,281,22.1,3.3,8.4,0.8,2.5,2.5,5.9,0.8,1.1,8.3,0.3,1.4,2.8,0.1,1,1.1,2.3
Chante Black,2013,SAS,C,1,0,10,1,2,0.5,0,0,NA,1,2,0.5,0.5,0,0,NA,1,2,0,0,1,2,1,2,10,1,2,0,0,1,2,0,0,2,1,2,0,1,0,2,1
Kelsey Bone,2013,NYL,C,34,2,663,99,215,0.46,0,1,0,99,214,0.463,0.46,36,57,0.632,73,185,25,12,12,52,87,234,19.5,2.9,6.3,0,0,2.9,6.3,1.1,1.7,6.9,2.1,5.4,0.7,0.4,0.4,1.5,2.6
DeWanna Bonner,2013,PHO,F-G,34,33,1119,160,390,0.41,54,166,0.325,106,224,0.473,0.479,118,131,0.901,35,198,82,39,11,56,45,492,32.9,4.7,11.5,1.6,4.9,3.1,6.6,3.5,3.9,14.5,1,5.8,2.4,0.3,1.1,1.6,1.3
Cierra Bravard,2013,SEA,F,6,0,27,1,3,0.333,1,2,0.5,0,1,0,0.5,0,0,NA,3,5,0,1,1,3,12,3,4.5,0.2,0.5,0.2,0.3,0,0.2,0,0,0.5,0.5,0.8,0,0.2,0.2,0.5,2
Kara Braxton,2013,NYL,C-F,34,33,740,130,270,0.481,0,0,NA,130,270,0.481,0.481,37,56,0.661,86,226,40,22,14,77,100,297,21.8,3.8,7.9,0,0,3.8,7.9,1.1,1.6,8.7,2.5,6.6,1.2,0.4,0.6,2.3,2.9
Jessica Breland,2013,IND,F,30,2,439,69,157,0.439,0,0,NA,69,157,0.439,0.439,20,27,0.741,50,121,17,17,31,34,38,158,14.6,2.3,5.2,0,0,2.3,5.2,0.7,0.9,5.3,1.7,4,0.6,1,0.6,1.1,1.3
Rebekkah Brunson,2013,MIN,F,33,33,965,147,296,0.497,1,1,1,146,295,0.495,0.498,56,88,0.636,89,294,50,42,29,39,70,351,29.2,4.5,9,0,0,4.4,8.9,1.7,2.7,10.6,2.7,8.9,1.5,0.9,1.3,1.2,2.1
Liz Cambage,2013,TUL,C,20,16,499,106,189,0.561,0,0,NA,106,189,0.561,0.561,114,147,0.776,50,166,22,10,48,62,58,326,25,5.3,9.4,0,0,5.3,9.4,5.7,7.3,16.3,2.5,8.3,1.1,2.4,0.5,3.1,2.9
Michelle Campbell,2013,CHI,F,31,0,238,16,51,0.314,0,0,NA,16,51,0.314,0.314,22,30,0.733,21,48,5,5,6,16,41,54,7.7,0.5,1.6,0,0,0.5,1.6,0.7,1,1.7,0.7,1.5,0.2,0.2,0.2,0.5,1.3
Essence Carson,2013,NYL,G,4,4,118,22,40,0.55,1,3,0.333,21,37,0.568,0.563,12,14,0.857,4,22,7,2,2,10,6,57,29.5,5.5,10,0.2,0.8,5.2,9.2,3,3.5,14.2,1,5.5,1.8,0.5,0.5,2.5,1.5
Sydney Carter,2013,CON,G,15,1,259,21,60,0.35,4,19,0.211,17,41,0.415,0.383,16,20,0.8,5,22,27,7,4,25,17,62,17.3,1.4,4,0.3,1.3,1.1,2.7,1.1,1.3,4.1,0.3,1.5,1.8,0.3,0.5,1.7,1.1
Swin Cash,2013,CHI,F,34,34,961,118,284,0.415,17,63,0.27,101,221,0.457,0.445,64,75,0.853,43,191,74,31,20,64,101,317,28.3,3.5,8.4,0.5,1.9,3,6.5,1.9,2.2,9.3,1.3,5.6,2.2,0.6,0.9,1.9,3
Iziane Castro Marques,2013,CON,F-G,28,9,441,58,165,0.352,15,46,0.326,43,119,0.361,0.397,37,51,0.725,13,47,29,13,4,37,35,168,15.8,2.1,5.9,0.5,1.6,1.5,4.2,1.3,1.8,6,0.5,1.7,1,0.1,0.5,1.3,1.2
Tamika Catchings,2013,IND,F,30,30,942,179,452,0.396,36,112,0.321,143,340,0.421,0.436,136,158,0.861,45,213,71,85,31,51,74,530,31.4,6,15.1,1.2,3.7,4.8,11.3,4.5,5.3,17.7,1.5,7.1,2.4,1,2.8,1.7,2.5
Tina Charles,2013,CON,C,29,29,951,218,545,0.4,0,3,0,218,542,0.402,0.4,85,113,0.752,98,293,42,27,28,64,57,521,32.8,7.5,18.8,0,0.1,7.5,18.7,2.9,3.9,18,3.4,10.1,1.4,1,0.9,2.2,2
Karima Christmas-Kelly,2013,IND,F-G,34,28,913,101,271,0.373,30,100,0.3,71,171,0.415,0.428,60,74,0.811,64,141,37,63,11,42,81,292,26.9,3,8,0.9,2.9,2.1,5,1.8,2.2,8.6,1.9,4.1,1.1,0.3,1.9,1.2,2.4
Shameka Christon,2013,SAS,G,33,14,740,82,267,0.307,50,156,0.321,32,111,0.288,0.401,33,38,0.868,10,55,24,16,11,24,55,247,22.4,2.5,8.1,1.5,4.7,1,3.4,1,1.2,7.5,0.3,1.7,0.7,0.3,0.5,0.7,1.7
Layshia Clarendon,2013,IND,G,30,4,582,55,166,0.331,7,27,0.259,48,139,0.345,0.352,9,22,0.409,18,54,55,16,1,40,66,126,19.4,1.8,5.5,0.2,0.9,1.6,4.6,0.3,0.7,4.2,0.6,1.8,1.8,0,0.5,1.3,2.2
Alysha Clark,2013,SEA,F,33,0,505,48,106,0.453,16,41,0.39,32,65,0.492,0.528,19,25,0.76,32,82,12,14,5,35,50,131,15.3,1.5,3.2,0.5,1.2,1,2,0.6,0.8,4,1,2.5,0.4,0.2,0.4,1.1,1.5
Courtney Clements,2013,ATL,G,26,0,244,20,99,0.202,9,39,0.231,11,60,0.183,0.247,9,12,0.75,11,24,8,4,2,7,25,58,9.4,0.8,3.8,0.3,1.5,0.4,2.3,0.3,0.5,2.2,0.4,0.9,0.3,0.1,0.2,0.3,1
Marissa Coleman,2013,LAS,G-F,34,3,595,58,135,0.43,20,50,0.4,38,85,0.447,0.504,21,33,0.636,32,100,34,24,5,31,43,157,17.5,1.7,4,0.6,1.5,1.1,2.5,0.6,1,4.6,0.9,2.9,1,0.1,0.7,0.9,1.3
Monique Currie,2013,WAS,F,34,34,881,121,302,0.401,22,64,0.344,99,238,0.416,0.437,92,113,0.814,33,169,51,39,8,62,100,356,25.9,3.6,8.9,0.6,1.9,2.9,7,2.7,3.3,10.5,1,5,1.5,0.2,1.1,1.8,2.9
Elena Delle Donne,2013,CHI,F-G,30,30,941,172,404,0.426,42,96,0.438,130,308,0.422,0.478,157,169,0.929,42,167,53,20,54,39,47,543,31.4,5.7,13.5,1.4,3.2,4.3,10.3,5.2,5.6,18.1,1.4,5.6,1.8,1.8,0.7,1.3,1.6
Erika de Souza,2013,ATL,F-C,34,34,1016,187,338,0.553,0,0,NA,187,338,0.553,0.553,63,93,0.677,90,337,43,45,61,55,90,437,29.9,5.5,9.9,0,0,5.5,9.9,1.9,2.7,12.9,2.6,9.9,1.3,1.8,1.3,1.6,2.6
Skylar Diggins-Smith,2013,TUL,G,32,21,845,89,271,0.328,19,78,0.244,70,193,0.363,0.363,75,90,0.833,15,61,123,41,8,92,65,272,26.4,2.8,8.5,0.6,2.4,2.2,6,2.3,2.8,8.5,0.5,1.9,3.8,0.2,1.3,2.9,2
Katie Douglas,2013,IND,G-F,4,4,143,21,54,0.389,7,27,0.259,14,27,0.519,0.454,11,11,1,5,11,6,7,2,11,3,60,35.8,5.2,13.5,1.8,6.8,3.5,6.8,2.8,2.8,15,1.2,2.8,1.5,0.5,1.8,2.8,0.8
Candice Dupree,2013,PHO,F,32,32,1057,204,396,0.515,0,3,0,204,393,0.519,0.515,78,87,0.897,48,204,61,34,13,65,58,486,33,6.4,12.4,0,0.1,6.4,12.3,2.4,2.7,15.2,1.5,6.4,1.9,0.4,1.1,2,1.8
Kelly Faris,2013,CON,G,24,3,338,18,49,0.367,7,25,0.28,11,24,0.458,0.439,7,9,0.778,12,53,16,7,5,15,32,50,14.1,0.8,2,0.3,1,0.5,1,0.3,0.4,2.1,0.5,2.2,0.7,0.2,0.3,0.6,1.3
Sylvia Fowles,2013,CHI,C,32,32,1001,198,338,0.586,0,0,NA,198,338,0.586,0.586,124,181,0.685,117,369,12,29,78,66,66,520,31.3,6.2,10.6,0,0,6.2,10.6,3.9,5.7,16.2,3.7,11.5,0.4,2.4,0.9,2.1,2.1
Briana Gilbreath-Butler,2013,PHO,G,34,30,763,60,152,0.395,13,51,0.255,47,101,0.465,0.438,15,24,0.625,26,109,50,23,15,25,61,148,22.4,1.8,4.5,0.4,1.5,1.4,3,0.4,0.7,4.4,0.8,3.2,1.5,0.4,0.7,0.7,1.8
Sasha Goodlett,2013,IND,C,25,1,187,19,53,0.358,0,0,NA,19,53,0.358,0.358,6,7,0.857,16,40,4,2,2,10,17,44,7.5,0.8,2.1,0,0,0.8,2.1,0.2,0.3,1.8,0.6,1.6,0.2,0.1,0.1,0.4,0.7
Angel Goodrich,2013,TUL,G,31,16,680,58,137,0.423,8,32,0.25,50,105,0.476,0.453,12,22,0.545,14,57,91,38,2,52,35,136,21.9,1.9,4.4,0.3,1,1.6,3.4,0.4,0.7,4.4,0.5,1.8,2.9,0.1,1.2,1.7,1.1
Kalana Greene,2013,CON,G,34,31,888,70,172,0.407,4,26,0.154,66,146,0.452,0.419,30,41,0.732,38,126,50,38,13,36,56,174,26.1,2.1,5.1,0.1,0.8,1.9,4.3,0.9,1.2,5.1,1.1,3.7,1.5,0.4,1.1,1.1,1.6
Kelsey Griffin,2013,CON,F,34,34,864,109,246,0.443,12,39,0.308,97,207,0.469,0.467,66,90,0.733,61,170,32,42,23,34,93,296,25.4,3.2,7.2,0.4,1.1,2.9,6.1,1.9,2.6,8.7,1.8,5,0.9,0.7,1.2,1,2.7
Brittney Griner,2013,PHO,C,27,27,699,139,250,0.556,0,0,NA,139,250,0.556,0.556,63,87,0.724,37,171,28,13,81,47,80,341,25.9,5.1,9.3,0,0,5.1,9.3,2.3,3.2,12.6,1.4,6.3,1,3,0.5,1.7,3
Becky Hammon,2013,SAS,G,1,1,12,1,3,0.333,0,1,0,1,2,0.5,0.333,0,0,NA,0,1,1,0,0,3,0,2,12,1,3,0,1,1,2,0,0,2,0,1,1,0,0,3,0
Lindsey Harding,2013,LAS,G,33,33,1011,134,304,0.441,4,22,0.182,130,282,0.461,0.447,88,116,0.759,17,89,170,34,13,82,60,360,30.6,4.1,9.2,0.1,0.7,3.9,8.5,2.7,3.5,10.9,0.5,2.7,5.2,0.4,1,2.5,1.8
Amber Harris,2013,MIN,F,30,1,263,27,72,0.375,2,14,0.143,25,58,0.431,0.389,15,21,0.714,11,44,20,4,6,15,26,71,8.8,0.9,2.4,0.1,0.5,0.8,1.9,0.5,0.7,2.4,0.4,1.5,0.7,0.2,0.1,0.5,0.9
Jasmine Hassell,2013,IND,F,18,0,153,12,45,0.267,0,1,0,12,44,0.273,0.267,8,17,0.471,10,19,7,4,1,7,21,32,8.5,0.7,2.5,0,0.1,0.7,2.4,0.4,0.9,1.8,0.6,1.1,0.4,0.1,0.2,0.4,1.2
Jasmine Hassell,2013,SEA,F,4,0,9,1,2,0.5,0,0,NA,1,2,0.5,0.5,0,0,NA,0,0,1,0,0,0,1,2,2.2,0.2,0.5,0,0,0.2,0.5,0,0,0.5,0,0,0.2,0,0,0,0.2
Jasmine Hassell,2013,TOT,F,22,0,162,13,47,0.277,0,1,0,13,46,0.283,0.277,8,17,0.471,10,19,8,4,1,7,22,34,7.4,0.6,2.1,0,0,0.6,2.1,0.4,0.8,1.5,0.5,0.9,0.4,0,0.2,0.3,1
Tianna Hawkins,2013,SEA,F,33,0,321,48,91,0.527,5,21,0.238,43,70,0.614,0.555,11,13,0.846,17,52,6,9,4,22,59,112,9.7,1.5,2.8,0.2,0.6,1.3,2.1,0.3,0.4,3.4,0.5,1.6,0.2,0.1,0.3,0.7,1.8
Tiffany Hayes,2013,ATL,G,23,4,513,80,197,0.406,23,61,0.377,57,136,0.419,0.464,76,102,0.745,20,86,39,27,3,40,52,259,22.3,3.5,8.6,1,2.7,2.5,5.9,3.3,4.4,11.3,0.9,3.7,1.7,0.1,1.2,1.7,2.3
Aneika Henry-Morello,2013,ATL,F-C,34,1,434,54,120,0.45,0,0,NA,54,120,0.45,0.45,26,34,0.765,44,134,16,9,17,26,41,134,12.8,1.6,3.5,0,0,1.6,3.5,0.8,1,3.9,1.3,3.9,0.5,0.5,0.3,0.8,1.2
Allison Hightower,2013,CON,G,21,21,672,108,255,0.424,24,66,0.364,84,189,0.444,0.471,28,40,0.7,9,65,63,24,7,31,56,268,32,5.1,12.1,1.1,3.1,4,9,1.3,1.9,12.8,0.4,3.1,3,0.3,1.1,1.5,2.7
Tayler Hill,2013,WAS,G,34,7,593,63,192,0.328,35,105,0.333,28,87,0.322,0.419,59,70,0.843,8,58,51,23,3,38,30,220,17.4,1.9,5.6,1,3.1,0.8,2.6,1.7,2.1,6.5,0.2,1.7,1.5,0.1,0.7,1.1,0.9
Roneeka Hodges,2013,TUL,G,33,8,567,58,150,0.387,41,114,0.36,17,36,0.472,0.523,7,8,0.875,2,40,33,17,2,17,30,164,17.2,1.8,4.5,1.2,3.5,0.5,1.1,0.2,0.2,5,0.1,1.2,1,0.1,0.5,0.5,0.9
Ebony Hoffman,2013,LAS,F,33,0,412,46,108,0.426,1,14,0.071,45,94,0.479,0.431,8,9,0.889,14,64,33,16,11,22,73,101,12.5,1.4,3.3,0,0.4,1.4,2.8,0.2,0.3,3.1,0.4,1.9,1,0.3,0.5,0.7,2.2
Quanitra Hollingsworth,2013,WAS,C,7,0,42,5,9,0.556,0,0,NA,5,9,0.556,0.556,2,4,0.5,2,10,2,2,2,1,8,12,6,0.7,1.3,0,0,0.7,1.3,0.3,0.6,1.7,0.3,1.4,0.3,0.3,0.3,0.1,1.1
Chelsea Hopkins,2013,SAS,G,4,0,58,1,17,0.059,1,4,0.25,0,13,0,0.088,3,4,0.75,2,8,10,3,0,5,3,6,14.5,0.2,4.2,0.2,1,0,3.2,0.8,1,1.5,0.5,2,2.5,0,0.8,1.2,0.8
Alexis Hornbuckle,2013,PHO,G,30,1,373,30,92,0.326,10,36,0.278,20,56,0.357,0.38,21,30,0.7,9,51,38,11,3,38,61,91,12.4,1,3.1,0.3,1.2,0.7,1.9,0.7,1,3,0.3,1.7,1.3,0.1,0.4,1.3,2
Charde Houston,2013,PHO,F,34,6,586,78,195,0.4,9,50,0.18,69,145,0.476,0.423,35,45,0.778,20,77,44,17,12,56,101,200,17.2,2.3,5.7,0.3,1.5,2,4.3,1,1.3,5.9,0.6,2.3,1.3,0.4,0.5,1.6,3
Tiffany Jackson-Jones,2013,TUL,F,19,10,393,33,84,0.393,0,0,NA,33,84,0.393,0.393,17,26,0.654,37,86,13,25,4,27,41,83,20.7,1.7,4.4,0,0,1.7,4.4,0.9,1.4,4.4,1.9,4.5,0.7,0.2,1.3,1.4,2.2
Jasmine James,2013,PHO,G,16,1,190,18,54,0.333,0,8,0,18,46,0.391,0.333,13,18,0.722,5,23,28,14,1,19,18,49,11.9,1.1,3.4,0,0.5,1.1,2.9,0.8,1.1,3.1,0.3,1.4,1.8,0.1,0.9,1.2,1.1
Briann January,2013,IND,G,32,32,946,110,316,0.348,35,98,0.357,75,218,0.344,0.403,60,74,0.811,12,77,118,34,6,79,84,315,29.6,3.4,9.9,1.1,3.1,2.3,6.8,1.9,2.3,9.8,0.4,2.4,3.7,0.2,1.1,2.5,2.6
Rachel Jarry,2013,MIN,F,27,0,184,16,36,0.444,6,10,0.6,10,26,0.385,0.528,7,9,0.778,7,19,11,5,4,13,27,45,6.8,0.6,1.3,0.2,0.4,0.4,1,0.3,0.3,1.7,0.3,0.7,0.4,0.1,0.2,0.5,1
Chucky Jeffery,2013,NYL,,2,0,6,0,2,0,0,1,0,0,1,0,0,2,2,1,0,1,0,2,0,0,0,2,3,0,1,0,0.5,0,0.5,1,1,1,0,0.5,0,0,1,0,0
Glory Johnson,2013,TUL,F,29,28,875,152,341,0.446,1,3,0.333,151,338,0.447,0.447,130,174,0.747,95,258,33,30,12,60,71,435,30.2,5.2,11.8,0,0.1,5.2,11.7,4.5,6,15,3.3,8.9,1.1,0.4,1,2.1,2.4
Shenise Johnson,2013,SAS,G,33,24,901,144,365,0.395,23,84,0.274,121,281,0.431,0.426,53,67,0.791,40,128,79,42,6,60,55,364,27.3,4.4,11.1,0.7,2.5,3.7,8.5,1.6,2,11,1.2,3.9,2.4,0.2,1.3,1.8,1.7
Temeka Johnson,2013,SEA,G,32,32,877,114,266,0.429,21,57,0.368,93,209,0.445,0.468,77,88,0.875,13,82,127,28,3,85,68,326,27.4,3.6,8.3,0.7,1.8,2.9,6.5,2.4,2.8,10.2,0.4,2.6,4,0.1,0.9,2.7,2.1
Lynetta Kizer,2013,PHO,F,27,0,266,31,69,0.449,0,1,0,31,68,0.456,0.449,9,14,0.643,21,57,6,11,5,21,55,71,9.9,1.1,2.6,0,0,1.1,2.5,0.3,0.5,2.6,0.8,2.1,0.2,0.2,0.4,0.8,2
Cathrine Kraayeveld,2013,SAS,F,22,0,285,16,55,0.291,11,40,0.275,5,15,0.333,0.391,3,4,0.75,9,42,12,9,4,10,20,46,13,0.7,2.5,0.5,1.8,0.2,0.7,0.1,0.2,2.1,0.4,1.9,0.5,0.2,0.4,0.5,0.9
Jennifer Lacy,2013,TUL,F,32,7,450,45,139,0.324,18,71,0.254,27,68,0.397,0.388,18,22,0.818,12,43,21,7,6,23,60,126,14.1,1.4,4.3,0.6,2.2,0.8,2.1,0.6,0.7,3.9,0.4,1.3,0.7,0.2,0.2,0.7,1.9
Natasha Lacy,2013,CON,G,3,1,50,2,18,0.111,0,1,0,2,17,0.118,0.111,3,3,1,3,15,6,4,0,4,1,7,16.7,0.7,6,0,0.3,0.7,5.7,1,1,2.3,1,5,2,0,1.3,1.3,0.3
Crystal Langhorne,2013,WAS,F-C,34,34,973,169,328,0.515,1,8,0.125,168,320,0.525,0.517,69,106,0.651,81,245,45,31,10,79,65,408,28.6,5,9.6,0,0.2,4.9,9.4,2,3.1,12,2.4,7.2,1.3,0.3,0.9,2.3,1.9
Erlana Larkins,2013,IND,F,34,34,1022,103,189,0.545,0,0,NA,103,189,0.545,0.545,63,89,0.708,104,265,64,48,11,47,100,269,30.1,3,5.6,0,0,3,5.6,1.9,2.6,7.9,3.1,7.8,1.9,0.3,1.4,1.4,2.9
Ivory Latta,2013,WAS,G,34,34,1072,158,403,0.392,72,182,0.396,86,221,0.389,0.481,83,92,0.902,12,88,150,29,1,64,67,471,31.5,4.6,11.9,2.1,5.4,2.5,6.5,2.4,2.7,13.9,0.4,2.6,4.4,0,0.9,1.9,2
Jantel Lavender,2013,LAS,F,34,3,571,107,211,0.507,0,0,NA,107,211,0.507,0.507,32,37,0.865,49,154,18,19,22,37,52,246,16.8,3.1,6.2,0,0,3.1,6.2,0.9,1.1,7.2,1.4,4.5,0.5,0.6,0.6,1.1,1.5
Kara Lawson,2013,CON,G,9,6,271,45,103,0.437,22,48,0.458,23,55,0.418,0.544,12,14,0.857,8,33,38,5,1,22,14,124,30.1,5,11.4,2.4,5.3,2.6,6.1,1.3,1.6,13.8,0.9,3.7,4.2,0.1,0.6,2.4,1.6
Camille Little,2013,SEA,F,34,34,1030,121,277,0.437,13,46,0.283,108,231,0.468,0.46,114,142,0.803,65,161,47,42,9,81,89,369,30.3,3.6,8.1,0.4,1.4,3.2,6.8,3.4,4.2,10.9,1.9,4.7,1.4,0.3,1.2,2.4,2.6
Sancho Lyttle,2013,ATL,F,6,6,180,37,70,0.529,2,5,0.4,35,65,0.538,0.543,10,15,0.667,14,51,15,14,8,13,17,86,30,6.2,11.7,0.3,0.8,5.8,10.8,1.7,2.5,14.3,2.3,8.5,2.5,1.3,2.3,2.2,2.8
Anne Marie Armstrong,2013,ATL,,9,0,25,2,4,0.5,2,4,0.5,0,0,NA,0.75,0,0,NA,1,4,0,1,0,1,2,6,2.8,0.2,0.4,0.2,0.4,0,0,0,0,0.7,0.1,0.4,0,0,0.1,0.1,0.2
A'dia Mathies,2013,LAS,G,30,0,276,24,68,0.353,4,16,0.25,20,52,0.385,0.382,16,25,0.64,7,20,23,9,2,17,35,68,9.2,0.8,2.3,0.1,0.5,0.7,1.7,0.5,0.8,2.3,0.2,0.7,0.8,0.1,0.3,0.6,1.2
Janel McCarville,2013,MIN,F-C,32,32,700,79,162,0.488,6,14,0.429,73,148,0.493,0.506,37,46,0.804,38,137,92,32,21,42,59,201,21.9,2.5,5.1,0.2,0.4,2.3,4.6,1.2,1.4,6.3,1.2,4.3,2.9,0.7,1,1.3,1.8
Angel McCoughtry,2013,ATL,F-G,33,32,1036,246,596,0.413,23,113,0.204,223,483,0.462,0.432,196,238,0.824,58,176,146,89,24,134,90,711,31.4,7.5,18.1,0.7,3.4,6.8,14.6,5.9,7.2,21.5,1.8,5.3,4.4,0.7,2.7,4.1,2.7
Nadirah McKenith,2013,WAS,G,32,0,282,29,78,0.372,7,22,0.318,22,56,0.393,0.417,25,34,0.735,4,36,33,19,2,22,21,90,8.8,0.9,2.4,0.2,0.7,0.7,1.8,0.8,1.1,2.8,0.1,1.1,1,0.1,0.6,0.7,0.7
Emma Meesseman,2013,WAS,F,34,1,498,66,148,0.446,0,2,0,66,146,0.452,0.446,17,21,0.81,40,106,42,19,24,29,54,149,14.6,1.9,4.4,0,0.1,1.9,4.3,0.5,0.6,4.4,1.2,3.1,1.2,0.7,0.6,0.9,1.6
DeLisha Milton-Jones,2013,NYL,F,11,2,213,23,66,0.348,2,10,0.2,21,56,0.375,0.364,26,33,0.788,9,36,19,5,3,17,24,74,19.4,2.1,6,0.2,0.9,1.9,5.1,2.4,3,6.7,0.8,3.3,1.7,0.3,0.5,1.5,2.2
DeLisha Milton-Jones,2013,SAS,F,15,15,409,59,140,0.421,3,14,0.214,56,126,0.444,0.432,17,28,0.607,28,73,30,14,7,25,43,138,27.3,3.9,9.3,0.2,0.9,3.7,8.4,1.1,1.9,9.2,1.9,4.9,2,0.5,0.9,1.7,2.9
DeLisha Milton-Jones,2013,TOT,F,26,17,622,82,206,0.398,5,24,0.208,77,182,0.423,0.41,43,61,0.705,37,109,49,19,10,42,67,212,23.9,3.2,7.9,0.2,0.9,3,7,1.7,2.3,8.2,1.4,4.2,1.9,0.4,0.7,1.6,2.6
Leilani Mitchell,2013,NYL,G,34,9,633,54,133,0.406,32,85,0.376,22,48,0.458,0.526,30,35,0.857,18,71,66,26,4,34,37,170,18.6,1.6,3.9,0.9,2.5,0.6,1.4,0.9,1,5,0.5,2.1,1.9,0.1,0.8,1,1.1
Alex Montgomery,2013,NYL,G-F,34,0,782,86,224,0.384,13,43,0.302,73,181,0.403,0.413,22,26,0.846,36,177,57,22,8,57,75,207,23,2.5,6.6,0.4,1.3,2.1,5.3,0.6,0.8,6.1,1.1,5.2,1.7,0.2,0.6,1.7,2.2
Renee Montgomery,2013,CON,G,23,18,625,81,222,0.365,36,110,0.327,45,112,0.402,0.446,35,39,0.897,7,41,71,18,1,56,39,233,27.2,3.5,9.7,1.6,4.8,2,4.9,1.5,1.7,10.1,0.3,1.8,3.1,0,0.8,2.4,1.7
Jessica Moore,2013,WAS,F-C,2,0,8,0,1,0,0,0,NA,0,1,0,0,0,0,NA,0,2,0,0,0,1,2,0,4,0,0.5,0,0,0,0.5,0,0,0,0,1,0,0,0,0.5,1
Lindsey Moore,2013,MIN,G,23,0,130,8,31,0.258,3,12,0.25,5,19,0.263,0.306,3,4,0.75,0,13,24,3,0,12,5,22,5.7,0.3,1.3,0.1,0.5,0.2,0.8,0.1,0.2,1,0,0.6,1,0,0.1,0.5,0.2
Maya Moore,2013,MIN,F,34,34,1068,233,458,0.509,72,159,0.453,161,299,0.538,0.587,90,102,0.882,59,210,101,59,33,57,97,628,31.4,6.9,13.5,2.1,4.7,4.7,8.8,2.6,3,18.5,1.7,6.2,3,1,1.7,1.7,2.9
Shay Murphy,2013,CHI,G,34,0,379,38,130,0.292,10,58,0.172,28,72,0.389,0.331,19,24,0.792,29,64,10,21,0,13,32,105,11.1,1.1,3.8,0.3,1.7,0.8,2.1,0.6,0.7,3.1,0.9,1.9,0.3,0,0.6,0.4,0.9
Nneka Ogwumike,2013,LAS,F,34,34,878,192,339,0.566,2,5,0.4,190,334,0.569,0.569,109,132,0.826,95,258,45,50,33,66,101,495,25.8,5.6,10,0.1,0.1,5.6,9.8,3.2,3.9,14.6,2.8,7.6,1.3,1,1.5,1.9,3
Jenna O'Hea,2013,LAS,F,29,0,398,28,64,0.438,20,40,0.5,8,24,0.333,0.594,10,15,0.667,12,50,31,10,6,17,38,86,13.7,1,2.2,0.7,1.4,0.3,0.8,0.3,0.5,3,0.4,1.7,1.1,0.2,0.3,0.6,1.3
Courtney Paris,2013,TUL,C,23,2,276,41,89,0.461,0,1,0,41,88,0.466,0.461,6,9,0.667,41,95,11,7,16,12,36,88,12,1.8,3.9,0,0,1.8,3.8,0.3,0.4,3.8,1.8,4.1,0.5,0.7,0.3,0.5,1.6
Candace Parker,2013,LAS,F-C,31,31,889,208,422,0.493,9,35,0.257,199,387,0.514,0.504,131,172,0.762,44,269,117,40,57,71,42,556,28.7,6.7,13.6,0.3,1.1,6.4,12.5,4.2,5.5,17.9,1.4,8.7,3.8,1.8,1.3,2.3,1.4
Kayla Pedersen,2013,CON,F,25,0,269,23,63,0.365,0,1,0,23,62,0.371,0.365,20,28,0.714,19,65,17,14,6,20,40,66,10.8,0.9,2.5,0,0,0.9,2.5,0.8,1.1,2.6,0.8,2.6,0.7,0.2,0.6,0.8,1.6
Kayla Pedersen,2013,TOT,F,34,5,431,39,101,0.386,0,1,0,39,100,0.39,0.386,23,34,0.676,32,100,31,21,14,28,52,101,12.7,1.1,3,0,0,1.1,2.9,0.7,1,3,0.9,2.9,0.9,0.4,0.6,0.8,1.5
Kayla Pedersen,2013,TUL,F,9,5,162,16,38,0.421,0,0,NA,16,38,0.421,0.421,3,6,0.5,13,35,14,7,8,8,12,35,18,1.8,4.2,0,0,1.8,4.2,0.3,0.7,3.9,1.4,3.9,1.6,0.9,0.8,0.9,1.3
Jia Perkins,2013,SAS,G,34,33,1037,181,452,0.4,45,116,0.388,136,336,0.405,0.45,64,74,0.865,26,107,69,80,10,49,58,471,30.5,5.3,13.3,1.3,3.4,4,9.9,1.9,2.2,13.9,0.8,3.1,2,0.3,2.4,1.4,1.7
Devereaux Peters,2013,MIN,F,34,2,631,59,149,0.396,0,0,NA,59,149,0.396,0.396,23,27,0.852,52,156,37,24,34,30,56,141,18.6,1.7,4.4,0,0,1.7,4.4,0.7,0.8,4.1,1.5,4.6,1.1,1,0.7,0.9,1.6
Erin Phillips,2013,IND,G,18,6,383,36,98,0.367,23,48,0.479,13,50,0.26,0.485,12,16,0.75,4,19,29,15,1,14,22,107,21.3,2,5.4,1.3,2.7,0.7,2.8,0.7,0.9,5.9,0.2,1.1,1.6,0.1,0.8,0.8,1.2
Plenette Pierson,2013,NYL,F,32,27,883,147,367,0.401,0,7,0,147,360,0.408,0.401,77,107,0.72,63,186,80,16,20,79,68,371,27.6,4.6,11.5,0,0.2,4.6,11.2,2.4,3.3,11.6,2,5.8,2.5,0.6,0.5,2.5,2.1
