player,tm,zone,stat,value,shots,percent,FGA
Natisha Hiedeman,CON,mid,FGM,5,made,20,25
Nia Coffey,PHO,mid,FGM,6,made,54.5,11
Nneka Ogwumike,LAS,mid,FGM,16,made,43.2,37
Odyssey Sims,MIN,mid,FGM,7,made,31.8,22
Paris Kea,NYL,mid,FGM,9,made,40.9,22
Rachel Banham,MIN,mid,FGM,9,made,45,20
Reshanda Gray,LAS,mid,FGM,1,made,25,4
Riquna Williams,LAS,mid,FGM,18,made,36,50
Ruthy Hebard,CHI,mid,FGM,8,made,47.1,17
Sabrina Ionescu,NYL,mid,FGM,2,made,33.3,6
Sami Whitcomb,SEA,mid,FGM,6,made,60,10
Satou Sabally,DAL,mid,FGM,4,made,28.6,14
Seimone Augustus,LAS,mid,FGM,33,made,46.5,71
Shatori Walker-Kimbrough,PHO,mid,FGM,12,made,40,30
Shekinna Stricklen,ATL,mid,FGM,6,made,40,15
Shenise Johnson,MIN,mid,FGM,7,made,36.8,19
Shey Peddy,PHO,mid,FGM,1,made,20,5
Skylar Diggins-Smith,PHO,mid,FGM,14,made,51.9,27
Sophie Cunningham,PHO,mid,FGM,2,made,33.3,6
Stefanie Dolson,CHI,mid,FGM,4,made,44.4,9
Stella Johnson,WAS,mid,FGM,0,made,0,3
Stephanie Mavunga,CHI,mid,FGM,2,made,33.3,6
Sue Bird,SEA,mid,FGM,12,made,46.2,26
Sug Sutton,WAS,mid,FGM,4,made,50,8
Sugar Rodgers,LVA,mid,FGM,2,made,40,5
Sydney Colson,CHI,mid,FGM,2,made,100,2
Sydney Wiese,LAS,mid,FGM,3,made,37.5,8
Sylvia Fowles,MIN,mid,FGM,0,made,0,6
Te'a Cooper,LAS,mid,FGM,5,made,31.3,16
Teaira Mccowan,IND,mid,FGM,5,made,25,20
Theresa Plaisance,CON,mid,FGM,1,made,20,5
Tianna Hawkins,WAS,mid,FGM,5,made,27.8,18
Tierra Ruffin-Pratt,LAS,mid,FGM,2,made,14.3,14
Tiffany Mitchell,IND,mid,FGM,18,made,30.5,59
Tyasha Harris,DAL,mid,FGM,12,made,42.9,28
Victoria Vivians,IND,mid,FGM,2,made,28.6,7
A'ja Wilson,LVA,left,FGM,0,made,0,0
Aerial Powers,WAS,left,FGM,0,made,0,2
Alaina Coates,WAS,left,FGM,0,made,0,0
Alanna Smith,PHO,left,FGM,1,made,100,1
Alexis Jones,ATL,left,FGM,0,made,0,0
Alexis Prince,CHI,left,FGM,NA,made,NA,NA
Alisia Jenkins,PHO,left,FGM,0,made,0,0
Allie Quigley,CHI,left,FGM,3,made,50,6
Allisha Gray,DAL,left,FGM,1,made,50,2
Alysha Clark,SEA,left,FGM,5,made,71.4,7
Alyssa Thomas,CON,left,FGM,0,made,0,0
Amanda Zahui B,NYL,left,FGM,0,made,0,1
Angel Mccoughtry,LVA,left,FGM,0,made,0,0
Ariel Atkins,WAS,left,FGM,3,made,42.9,7
Arike Ogunbowale,DAL,left,FGM,0,made,0,3
Astou Ndour,DAL,left,FGM,1,made,100,1
Avery Warley-Talbert,LVA,left,FGM,0,made,0,0
Azur¡ Stevens,CHI,left,FGM,3,made,100,3
Beatrice Mompremier,CON,left,FGM,0,made,0,0
Bella Alarie,DAL,left,FGM,0,made,0,0
Betnijah Laney,ATL,left,FGM,1,made,12.5,8
Blake Dietrick,ATL,left,FGM,1,made,50,2
Breanna Stewart,SEA,left,FGM,0,made,0,0
