player,tm,zone,stat,value,shots,percent,FGA
Jacki Gemelos,WAS,mid,missed,4,missed,50,8
Jackie Young,LVA,mid,missed,35,missed,47.8,67
Jasmine Thomas,CON,mid,missed,34,missed,45.2,62
Jaylyn Agnew,ATL,mid,missed,1,missed,0,1
Jazmine Jones,NYL,mid,missed,20,missed,33.3,30
Jewell Loyd,SEA,mid,missed,38,missed,44.9,69
Jocelyn Willoughby,NYL,mid,missed,9,missed,47.1,17
Jordin Canada,SEA,mid,missed,29,missed,35.6,45
Joyner Holmes,NYL,mid,missed,11,missed,15.4,13
Julie Allemand,IND,mid,missed,13,missed,27.8,18
Kaela Davis,ATL,mid,missed,0,missed,0,0
Kahleah Copper,CHI,mid,missed,37,missed,45.6,68
Kaila Charles,CON,mid,missed,11,missed,31.3,16
Kalani Brown,ATL,mid,missed,2,missed,50,4
Kaleena Mosqueda-Lewis,CON,mid,missed,6,missed,33.3,9
Kamiah Smalls,IND,mid,missed,2,missed,33.3,3
Karima Christmas-Kelly,MIN,mid,missed,1,missed,0,1
Kathleen Doyle,IND,mid,missed,7,missed,12.5,8
Katie Lou Samuelson,DAL,mid,missed,11,missed,8.3,12
Kayla Alexander,MIN,mid,missed,2,missed,60,5
Kayla Mcbride,LVA,mid,missed,39,missed,45.1,71
Kayla Thornton,DAL,mid,missed,11,missed,26.7,15
Kelsey Mitchell,IND,mid,missed,28,missed,45.1,51
Kennedy Burke,IND,mid,missed,9,missed,25,12
Kia Nurse,NYL,mid,missed,24,missed,22.6,31
Kia Vaughn,PHO,mid,missed,37,missed,41.3,63
Kiah Stokes,NYL,mid,missed,3,missed,40,5
Kiara Leslie,WAS,mid,missed,15,missed,11.8,17
Kristine Anigwe,LAS,mid,missed,5,missed,28.6,7
Kylee Shook,NYL,mid,missed,9,missed,47.1,17
Lauren Cox,IND,mid,missed,8,missed,27.3,11
Layshia Clarendon,NYL,mid,missed,7,missed,22.2,9
Leaonna Odom,NYL,mid,missed,4,missed,33.3,6
Leilani Mitchell,WAS,mid,missed,13,missed,45.8,24
Lexie Brown,MIN,mid,missed,20,missed,35.5,31
Lindsay Allen,LVA,mid,missed,12,missed,33.3,18
Marie G‹Lich,LAS,mid,missed,2,missed,33.3,3
Marina Mabrey,DAL,mid,missed,12,missed,25,16
Megan Gustafson,DAL,mid,missed,2,missed,0,2
Megan Huff,LVA,mid,missed,1,missed,0,1
Megan Walker,NYL,mid,missed,8,missed,33.3,12
Mercedes Russell,SEA,mid,missed,10,missed,28.6,14
Mikiah Herbert Harrigan,MIN,mid,missed,18,missed,33.3,27
Monique Billings,ATL,mid,missed,34,missed,26.1,46
Morgan Tuck,SEA,mid,missed,1,missed,0,1
Moriah Jefferson,DAL,mid,missed,6,missed,33.3,9
Myisha Hines-Allen,WAS,mid,missed,24,missed,44.2,43
Napheesa Collier,MIN,mid,missed,31,missed,31.1,45
Natalie Achonwa,IND,mid,missed,25,missed,40.5,42
Natasha Howard,SEA,mid,missed,7,missed,36.4,11
Natisha Hiedeman,CON,mid,missed,20,missed,20,25
Nia Coffey,PHO,mid,missed,5,missed,54.5,11
Nneka Ogwumike,LAS,mid,missed,21,missed,43.2,37
Odyssey Sims,MIN,mid,missed,15,missed,31.8,22
Paris Kea,NYL,mid,missed,13,missed,40.9,22
Rachel Banham,MIN,mid,missed,11,missed,45,20
Reshanda Gray,LAS,mid,missed,3,missed,25,4
Riquna Williams,LAS,mid,missed,32,missed,36,50
Ruthy Hebard,CHI,mid,missed,9,missed,47.1,17
Sabrina Ionescu,NYL,mid,missed,4,missed,33.3,6
Sami Whitcomb,SEA,mid,missed,4,missed,60,10
Satou Sabally,DAL,mid,missed,10,missed,28.6,14
Seimone Augustus,LAS,mid,missed,38,missed,46.5,71
Shatori Walker-Kimbrough,PHO,mid,missed,18,missed,40,30
Shekinna Stricklen,ATL,mid,missed,9,missed,40,15
Shenise Johnson,MIN,mid,missed,12,missed,36.8,19
Shey Peddy,PHO,mid,missed,4,missed,20,5
Skylar Diggins-Smith,PHO,mid,missed,13,missed,51.9,27
Sophie Cunningham,PHO,mid,missed,4,missed,33.3,6
Stefanie Dolson,CHI,mid,missed,5,missed,44.4,9
Stella Johnson,WAS,mid,missed,3,missed,0,3
Stephanie Mavunga,CHI,mid,missed,4,missed,33.3,6
Sue Bird,SEA,mid,missed,14,missed,46.2,26
Sug Sutton,WAS,mid,missed,4,missed,50,8
Sugar Rodgers,LVA,mid,missed,3,missed,40,5
Sydney Colson,CHI,mid,missed,0,missed,100,2
Sydney Wiese,LAS,mid,missed,5,missed,37.5,8
Sylvia Fowles,MIN,mid,missed,6,missed,0,6
Te'a Cooper,LAS,mid,missed,11,missed,31.3,16
Teaira Mccowan,IND,mid,missed,15,missed,25,20
Theresa Plaisance,CON,mid,missed,4,missed,20,5
Tianna Hawkins,WAS,mid,missed,13,missed,27.8,18
Tierra Ruffin-Pratt,LAS,mid,missed,12,missed,14.3,14
Tiffany Mitchell,IND,mid,missed,41,missed,30.5,59
Tyasha Harris,DAL,mid,missed,16,missed,42.9,28
Victoria Vivians,IND,mid,missed,5,missed,28.6,7
A'ja Wilson,LVA,left,missed,0,missed,0,0
Aerial Powers,WAS,left,missed,2,missed,0,2
Alaina Coates,WAS,left,missed,0,missed,0,0
Alanna Smith,PHO,left,missed,0,missed,100,1
Alexis Jones,ATL,left,missed,0,missed,0,0
Alexis Prince,CHI,left,missed,NA,missed,NA,NA
Alisia Jenkins,PHO,left,missed,0,missed,0,0
Allie Quigley,CHI,left,missed,3,missed,50,6
Allisha Gray,DAL,left,missed,1,missed,50,2
Alysha Clark,SEA,left,missed,2,missed,71.4,7
Alyssa Thomas,CON,left,missed,0,missed,0,0
Amanda Zahui B,NYL,left,missed,1,missed,0,1
Angel Mccoughtry,LVA,left,missed,0,missed,0,0
Ariel Atkins,WAS,left,missed,4,missed,42.9,7
Arike Ogunbowale,DAL,left,missed,3,missed,0,3
Astou Ndour,DAL,left,missed,0,missed,100,1
Avery Warley-Talbert,LVA,left,missed,0,missed,0,0
Azur¡ Stevens,CHI,left,missed,0,missed,100,3
Beatrice Mompremier,CON,left,missed,0,missed,0,0
Bella Alarie,DAL,left,missed,0,missed,0,0
Betnijah Laney,ATL,left,missed,7,missed,12.5,8
Blake Dietrick,ATL,left,missed,1,missed,50,2
Breanna Stewart,SEA,left,missed,0,missed,0,0
Bria Hartley,PHO,left,missed,0,missed,0,0
Bria Holmes,CON,left,missed,0,missed,0,0
Briann January,CON,left,missed,0,missed,0,0
Brianna Turner,PHO,left,missed,0,missed,0,0
Bridget Carleton,MIN,left,missed,2,missed,60,5
Brionna Jones,CON,left,missed,0,missed,0,0
Brittany Brewer,ATL,left,missed,NA,missed,NA,NA
Brittney Griner,PHO,left,missed,0,missed,0,0
Brittney Sykes,LAS,left,missed,3,missed,50,6
Candace Parker,LAS,left,missed,1,missed,66.7,3
Candice Dupree,IND,left,missed,0,missed,0,0
Carolyn Swords,LVA,left,missed,0,missed,0,0
Chelsea Gray,LAS,left,missed,0,missed,0,0
Chennedy Carter,ATL,left,missed,1,missed,0,1
Cheyenne Parker,CHI,left,missed,1,missed,0,1
Cierra Burdick,LVA,left,missed,0,missed,0,0
Courtney Vandersloot,CHI,left,missed,1,missed,50,2
Courtney Williams,ATL,left,missed,3,missed,0,3
Crystal Dangerfield,MIN,left,missed,2,missed,0,2
Crystal Langhorne,SEA,left,missed,0,missed,0,0
Damiris Dantas,MIN,left,missed,1,missed,50,2
Danielle Robinson,LVA,left,missed,1,missed,0,1
Dewanna Bonner,CON,left,missed,2,missed,33.3,3
Dearica Hamby,LVA,left,missed,1,missed,66.7,3
Diamond Deshields,CHI,left,missed,1,missed,50,2
Diana Taurasi,PHO,left,missed,1,missed,0,1
Elizabeth Williams,ATL,left,missed,0,missed,0,0
Emma Cannon,LVA,left,missed,NA,missed,NA,NA
Emma Meesseman,WAS,left,missed,2,missed,0,2
Epiphanny Prince,SEA,left,missed,0,missed,0,0
Erica Mccall,MIN,left,missed,0,missed,0,0
Essence Carson,CON,left,missed,1,missed,50,2
Ezi Magbegor,SEA,left,missed,0,missed,0,0
Gabby Williams,CHI,left,missed,2,missed,33.3,3
Glory Johnson,ATL,left,missed,0,missed,0,0
Isabelle Harrison,DAL,left,missed,0,missed,0,0
Jacki Gemelos,WAS,left,missed,2,missed,50,4
Jackie Young,LVA,left,missed,0,missed,0,0
Jasmine Thomas,CON,left,missed,4,missed,33.3,6
Jaylyn Agnew,ATL,left,missed,0,missed,100,1
Jazmine Jones,NYL,left,missed,0,missed,100,1
Jewell Loyd,SEA,left,missed,5,missed,61.5,13
Jocelyn Willoughby,NYL,left,missed,1,missed,0,1
Jordin Canada,SEA,left,missed,0,missed,0,0
Joyner Holmes,NYL,left,missed,1,missed,0,1
Julie Allemand,IND,left,missed,0,missed,100,1
Kaela Davis,ATL,left,missed,NA,missed,NA,NA
Kahleah Copper,CHI,left,missed,1,missed,50,2
Kaila Charles,CON,left,missed,0,missed,0,0
Kalani Brown,ATL,left,missed,0,missed,0,0
Kaleena Mosqueda-Lewis,CON,left,missed,2,missed,33.3,3
Kamiah Smalls,IND,left,missed,2,missed,33.3,3
Karima Christmas-Kelly,MIN,left,missed,0,missed,0,0
Kathleen Doyle,IND,left,missed,1,missed,0,1
Katie Lou Samuelson,DAL,left,missed,2,missed,0,2
Kayla Alexander,MIN,left,missed,0,missed,0,0
Kayla Mcbride,LVA,left,missed,3,missed,0,3
Kayla Thornton,DAL,left,missed,1,missed,0,1
Kelsey Mitchell,IND,left,missed,2,missed,0,2
Kennedy Burke,IND,left,missed,0,missed,100,2
Kia Nurse,NYL,left,missed,2,missed,33.3,3
Kia Vaughn,PHO,left,missed,0,missed,0,0
Kiah Stokes,NYL,left,missed,6,missed,0,6
Kiara Leslie,WAS,left,missed,2,missed,50,4
Kristine Anigwe,LAS,left,missed,0,missed,0,0
Kylee Shook,NYL,left,missed,1,missed,0,1
Lauren Cox,IND,left,missed,0,missed,0,0
Layshia Clarendon,NYL,left,missed,0,missed,0,0
Leaonna Odom,NYL,left,missed,1,missed,66.7,3
Leilani Mitchell,WAS,left,missed,2,missed,33.3,3
Lexie Brown,MIN,left,missed,3,missed,0,3
Lindsay Allen,LVA,left,missed,0,missed,100,1
Marie G‹Lich,LAS,left,missed,0,missed,0,0
Marina Mabrey,DAL,left,missed,1,missed,66.7,3
Megan Gustafson,DAL,left,missed,0,missed,0,0
Megan Huff,LVA,left,missed,0,missed,0,0
Megan Walker,NYL,left,missed,2,missed,0,2
Mercedes Russell,SEA,left,missed,0,missed,0,0
Mikiah Herbert Harrigan,MIN,left,missed,0,missed,100,1
Monique Billings,ATL,left,missed,0,missed,0,0
Morgan Tuck,SEA,left,missed,2,missed,0,2
Moriah Jefferson,DAL,left,missed,0,missed,0,0
Myisha Hines-Allen,WAS,left,missed,1,missed,0,1
Napheesa Collier,MIN,left,missed,1,missed,50,2
Natalie Achonwa,IND,left,missed,0,missed,0,0
Natasha Howard,SEA,left,missed,0,missed,100,1
Natisha Hiedeman,CON,left,missed,0,missed,0,0
Nia Coffey,PHO,left,missed,1,missed,0,1
Nneka Ogwumike,LAS,left,missed,0,missed,0,0
Odyssey Sims,MIN,left,missed,0,missed,0,0
Paris Kea,NYL,left,missed,0,missed,0,0
Rachel Banham,MIN,left,missed,0,missed,100,2
Reshanda Gray,LAS,left,missed,0,missed,0,0
Riquna Williams,LAS,left,missed,4,missed,60,10
Ruthy Hebard,CHI,left,missed,0,missed,0,0
Sabrina Ionescu,NYL,left,missed,1,missed,0,1
Sami Whitcomb,SEA,left,missed,2,missed,33.3,3
Satou Sabally,DAL,left,missed,3,missed,0,3
Seimone Augustus,LAS,left,missed,0,missed,0,0
Shatori Walker-Kimbrough,PHO,left,missed,6,missed,25,8
Shekinna Stricklen,ATL,left,missed,2,missed,0,2
Shenise Johnson,MIN,left,missed,0,missed,0,0
Shey Peddy,PHO,left,missed,0,missed,100,1
Skylar Diggins-Smith,PHO,left,missed,3,missed,40,5
Sophie Cunningham,PHO,left,missed,3,missed,40,5
Stefanie Dolson,CHI,left,missed,0,missed,0,0
Stella Johnson,WAS,left,missed,0,missed,0,0
Stephanie Mavunga,CHI,left,missed,0,missed,0,0
Sue Bird,SEA,left,missed,0,missed,100,3
Sug Sutton,WAS,left,missed,0,missed,0,0
Sugar Rodgers,LVA,left,missed,0,missed,0,0
Sydney Colson,CHI,left,missed,0,missed,0,0
Sydney Wiese,LAS,left,missed,0,missed,100,2
Sylvia Fowles,MIN,left,missed,0,missed,0,0
Te'a Cooper,LAS,left,missed,5,missed,16.7,6
Teaira Mccowan,IND,left,missed,0,missed,0,0
Theresa Plaisance,CON,left,missed,0,missed,0,0
Tianna Hawkins,WAS,left,missed,1,missed,0,1
Tierra Ruffin-Pratt,LAS,left,missed,0,missed,0,0
Tiffany Mitchell,IND,left,missed,3,missed,40,5
Tyasha Harris,DAL,left,missed,2,missed,33.3,3
Victoria Vivians,IND,left,missed,1,missed,50,2
A'ja Wilson,LVA,right,missed,0,missed,0,0
Aerial Powers,WAS,right,missed,1,missed,0,1
Alaina Coates,WAS,right,missed,0,missed,0,0
Alanna Smith,PHO,right,missed,0,missed,0,0
Alexis Jones,ATL,right,missed,0,missed,0,0
Alexis Prince,CHI,right,missed,NA,missed,NA,NA
Alisia Jenkins,PHO,right,missed,0,missed,0,0
Allie Quigley,CHI,right,missed,0,missed,100,1
Allisha Gray,DAL,right,missed,1,missed,50,2
Alysha Clark,SEA,right,missed,0,missed,0,0
Alyssa Thomas,CON,right,missed,0,missed,0,0
Amanda Zahui B,NYL,right,missed,0,missed,0,0
Angel Mccoughtry,LVA,right,missed,0,missed,0,0
Ariel Atkins,WAS,right,missed,0,missed,0,0
Arike Ogunbowale,DAL,right,missed,1,missed,0,1
Astou Ndour,DAL,right,missed,0,missed,0,0
Avery Warley-Talbert,LVA,right,missed,NA,missed,NA,NA
Azur¡ Stevens,CHI,right,missed,1,missed,50,2
Beatrice Mompremier,CON,right,missed,0,missed,0,0
Bella Alarie,DAL,right,missed,0,missed,0,0
Betnijah Laney,ATL,right,missed,1,missed,50,2
Blake Dietrick,ATL,right,missed,0,missed,0,0
Breanna Stewart,SEA,right,missed,0,missed,0,0
Bria Hartley,PHO,right,missed,0,missed,0,0
Bria Holmes,CON,right,missed,0,missed,0,0
Briann January,CON,right,missed,0,missed,0,0
Brianna Turner,PHO,right,missed,0,missed,0,0
Bridget Carleton,MIN,right,missed,1,missed,0,1
Brionna Jones,CON,right,missed,0,missed,0,0
Brittany Brewer,ATL,right,missed,0,missed,0,0
Brittney Griner,PHO,right,missed,0,missed,0,0
Brittney Sykes,LAS,right,missed,2,missed,33.3,3
Candace Parker,LAS,right,missed,0,missed,0,0
Candice Dupree,IND,right,missed,0,missed,0,0
Carolyn Swords,LVA,right,missed,0,missed,0,0
Chelsea Gray,LAS,right,missed,0,missed,100,1
Chennedy Carter,ATL,right,missed,0,missed,100,1
Cheyenne Parker,CHI,right,missed,0,missed,0,0
Cierra Burdick,LVA,right,missed,0,missed,0,0
Courtney Vandersloot,CHI,right,missed,0,missed,100,1
Courtney Williams,ATL,right,missed,0,missed,0,0
Crystal Dangerfield,MIN,right,missed,1,missed,50,2
Crystal Langhorne,SEA,right,missed,0,missed,0,0
Damiris Dantas,MIN,right,missed,0,missed,0,0
Danielle Robinson,LVA,right,missed,0,missed,0,0
Dewanna Bonner,CON,right,missed,1,missed,0,1
Dearica Hamby,LVA,right,missed,0,missed,0,0
Diamond Deshields,CHI,right,missed,2,missed,0,2
Diana Taurasi,PHO,right,missed,1,missed,0,1
Elizabeth Williams,ATL,right,missed,0,missed,0,0
Emma Cannon,LVA,right,missed,NA,missed,NA,NA
Emma Meesseman,WAS,right,missed,0,missed,0,0
Epiphanny Prince,SEA,right,missed,0,missed,0,0
Erica Mccall,MIN,right,missed,0,missed,0,0
Essence Carson,CON,right,missed,1,missed,0,1
Ezi Magbegor,SEA,right,missed,0,missed,0,0
Gabby Williams,CHI,right,missed,2,missed,0,2
Glory Johnson,ATL,right,missed,0,missed,0,0
Isabelle Harrison,DAL,right,missed,0,missed,0,0
Jacki Gemelos,WAS,right,missed,1,missed,0,1
Jackie Young,LVA,right,missed,0,missed,0,0
Jasmine Thomas,CON,right,missed,0,missed,100,1
Jaylyn Agnew,ATL,right,missed,0,missed,0,0
Jazmine Jones,NYL,right,missed,1,missed,0,1
Jewell Loyd,SEA,right,missed,1,missed,0,1
Jocelyn Willoughby,NYL,right,missed,0,missed,0,0
Jordin Canada,SEA,right,missed,0,missed,0,0
Joyner Holmes,NYL,right,missed,0,missed,100,1
Julie Allemand,IND,right,missed,0,missed,0,0
Kaela Davis,ATL,right,missed,NA,missed,NA,NA
Kahleah Copper,CHI,right,missed,0,missed,100,1
Kaila Charles,CON,right,missed,1,missed,50,2
Kalani Brown,ATL,right,missed,0,missed,0,0
Kaleena Mosqueda-Lewis,CON,right,missed,0,missed,100,1
Kamiah Smalls,IND,right,missed,0,missed,0,0
Karima Christmas-Kelly,MIN,right,missed,0,missed,0,0
Kathleen Doyle,IND,right,missed,0,missed,0,0
Katie Lou Samuelson,DAL,right,missed,0,missed,0,0
Kayla Alexander,MIN,right,missed,0,missed,0,0
Kayla Mcbride,LVA,right,missed,0,missed,0,0
Kayla Thornton,DAL,right,missed,0,missed,100,2
Kelsey Mitchell,IND,right,missed,0,missed,0,0
Kennedy Burke,IND,right,missed,0,missed,0,0
Kia Nurse,NYL,right,missed,0,missed,0,0
Kia Vaughn,PHO,right,missed,0,missed,0,0
Kiah Stokes,NYL,right,missed,3,missed,0,3
Kiara Leslie,WAS,right,missed,0,missed,0,0
Kristine Anigwe,LAS,right,missed,0,missed,0,0
Kylee Shook,NYL,right,missed,0,missed,0,0
Lauren Cox,IND,right,missed,0,missed,0,0
Layshia Clarendon,NYL,right,missed,1,missed,0,1
Leaonna Odom,NYL,right,missed,1,missed,50,2
Leilani Mitchell,WAS,right,missed,1,missed,66.7,3
Lexie Brown,MIN,right,missed,0,missed,0,0
Lindsay Allen,LVA,right,missed,0,missed,0,0
Marie G‹Lich,LAS,right,missed,0,missed,0,0
Marina Mabrey,DAL,right,missed,0,missed,0,0
Megan Gustafson,DAL,right,missed,0,missed,0,0
Megan Huff,LVA,right,missed,0,missed,0,0
Megan Walker,NYL,right,missed,0,missed,0,0
Mercedes Russell,SEA,right,missed,0,missed,0,0
Mikiah Herbert Harrigan,MIN,right,missed,1,missed,0,1
Monique Billings,ATL,right,missed,0,missed,0,0
Morgan Tuck,SEA,right,missed,1,missed,0,1
Moriah Jefferson,DAL,right,missed,1,missed,0,1
Myisha Hines-Allen,WAS,right,missed,0,missed,0,0
Napheesa Collier,MIN,right,missed,0,missed,100,1
Natalie Achonwa,IND,right,missed,0,missed,0,0
Natasha Howard,SEA,right,missed,0,missed,0,0
Natisha Hiedeman,CON,right,missed,1,missed,0,1
Nia Coffey,PHO,right,missed,0,missed,0,0
Nneka Ogwumike,LAS,right,missed,0,missed,0,0
Odyssey Sims,MIN,right,missed,0,missed,0,0
Paris Kea,NYL,right,missed,0,missed,0,0
Rachel Banham,MIN,right,missed,0,missed,100,1
Reshanda Gray,LAS,right,missed,0,missed,0,0
Riquna Williams,LAS,right,missed,0,missed,100,1
Ruthy Hebard,CHI,right,missed,0,missed,0,0
Sabrina Ionescu,NYL,right,missed,0,missed,0,0
Sami Whitcomb,SEA,right,missed,4,missed,33.3,6
Satou Sabally,DAL,right,missed,0,missed,100,3
Seimone Augustus,LAS,right,missed,0,missed,0,0
Shatori Walker-Kimbrough,PHO,right,missed,0,missed,0,0
Shekinna Stricklen,ATL,right,missed,1,missed,0,1
Shenise Johnson,MIN,right,missed,0,missed,0,0
Shey Peddy,PHO,right,missed,0,missed,0,0
Skylar Diggins-Smith,PHO,right,missed,1,missed,50,2
Sophie Cunningham,PHO,right,missed,2,missed,33.3,3
Stefanie Dolson,CHI,right,missed,0,missed,0,0
Stella Johnson,WAS,right,missed,0,missed,0,0
Stephanie Mavunga,CHI,right,missed,0,missed,0,0
Sue Bird,SEA,right,missed,0,missed,100,1
Sug Sutton,WAS,right,missed,0,missed,0,0
Sugar Rodgers,LVA,right,missed,1,missed,50,2
Sydney Colson,CHI,right,missed,0,missed,0,0
Sydney Wiese,LAS,right,missed,1,missed,0,1
Sylvia Fowles,MIN,right,missed,0,missed,0,0
Te'a Cooper,LAS,right,missed,0,missed,0,0
Teaira Mccowan,IND,right,missed,0,missed,0,0
Theresa Plaisance,CON,right,missed,0,missed,0,0
Tianna Hawkins,WAS,right,missed,0,missed,0,0
Tierra Ruffin-Pratt,LAS,right,missed,0,missed,100,1
Tiffany Mitchell,IND,right,missed,1,missed,50,2
Tyasha Harris,DAL,right,missed,1,missed,0,1
Victoria Vivians,IND,right,missed,0,missed,0,0
A'ja Wilson,LVA,break,missed,0,missed,0,0
Aerial Powers,WAS,break,missed,14,missed,39.1,23
Alaina Coates,WAS,break,missed,0,missed,0,0
Alanna Smith,PHO,break,missed,33,missed,21.4,42
Alexis Jones,ATL,break,missed,12,missed,36.8,19
Alexis Prince,CHI,break,missed,1,missed,66.7,3
Alisia Jenkins,PHO,break,missed,3,missed,0,3
Allie Quigley,CHI,break,missed,83,missed,33.6,125
Allisha Gray,DAL,break,missed,44,missed,34.3,67
Alysha Clark,SEA,break,missed,30,missed,50,60
Alyssa Thomas,CON,break,missed,1,missed,0,1
Amanda Zahui B,NYL,break,missed,65,missed,34.3,99
Angel Mccoughtry,LVA,break,missed,18,missed,47.1,34
Ariel Atkins,WAS,break,missed,58,missed,41.4,99
Arike Ogunbowale,DAL,break,missed,90,missed,34.8,138
Astou Ndour,DAL,break,missed,19,missed,20.8,24
Avery Warley-Talbert,LVA,break,missed,0,missed,0,0
Azur¡ Stevens,CHI,break,missed,23,missed,32.4,34
Beatrice Mompremier,CON,break,missed,0,missed,0,0
Bella Alarie,DAL,break,missed,12,missed,7.7,13
Betnijah Laney,ATL,break,missed,35,missed,44.4,63
Blake Dietrick,ATL,break,missed,31,missed,44.6,56
Breanna Stewart,SEA,break,missed,60,missed,36.8,95
Bria Hartley,PHO,break,missed,39,missed,39.1,64
Bria Holmes,CON,break,missed,20,missed,33.3,30
Briann January,CON,break,missed,19,missed,36.7,30
Brianna Turner,PHO,break,missed,1,missed,0,1
Bridget Carleton,MIN,break,missed,22,missed,45,40
Brionna Jones,CON,break,missed,0,missed,100,1
Brittany Brewer,ATL,break,missed,0,missed,0,0
Brittney Griner,PHO,break,missed,0,missed,0,0
Brittney Sykes,LAS,break,missed,28,missed,30,40
Candace Parker,LAS,break,missed,27,missed,38.6,44
Candice Dupree,IND,break,missed,15,missed,16.7,18
Carolyn Swords,LVA,break,missed,0,missed,0,0
Chelsea Gray,LAS,break,missed,41,missed,29.3,58
Chennedy Carter,ATL,break,missed,19,missed,36.7,30
Cheyenne Parker,CHI,break,missed,16,missed,48.4,31
Cierra Burdick,LVA,break,missed,0,missed,0,0
Courtney Vandersloot,CHI,break,missed,43,missed,39.4,71
Courtney Williams,ATL,break,missed,23,missed,25.8,31
Crystal Dangerfield,MIN,break,missed,65,missed,33.7,98
Crystal Langhorne,SEA,break,missed,4,missed,20,5
Damiris Dantas,MIN,break,missed,50,missed,43.2,88
Danielle Robinson,LVA,break,missed,6,missed,45.5,11
Dewanna Bonner,CON,break,missed,76,missed,25.5,102
Dearica Hamby,LVA,break,missed,18,missed,47.1,34
Diamond Deshields,CHI,break,missed,12,missed,14.3,14
Diana Taurasi,PHO,break,missed,104,missed,37,165
Elizabeth Williams,ATL,break,missed,0,missed,0,0
Emma Cannon,LVA,break,missed,0,missed,0,0
Emma Meesseman,WAS,break,missed,30,missed,30.2,43
Epiphanny Prince,SEA,break,missed,18,missed,33.3,27
Erica Mccall,MIN,break,missed,3,missed,25,4
Essence Carson,CON,break,missed,30,missed,26.8,41
Ezi Magbegor,SEA,break,missed,2,missed,33.3,3
Gabby Williams,CHI,break,missed,45,missed,29.7,64
Glory Johnson,ATL,break,missed,31,missed,26.2,42
Isabelle Harrison,DAL,break,missed,3,missed,0,3
Jacki Gemelos,WAS,break,missed,23,missed,23.3,30
Jackie Young,LVA,break,missed,10,missed,23.1,13
Jasmine Thomas,CON,break,missed,37,missed,32.7,55
Jaylyn Agnew,ATL,break,missed,10,missed,16.7,12
Jazmine Jones,NYL,break,missed,27,missed,32.5,40
Jewell Loyd,SEA,break,missed,54,missed,36.5,85
Jocelyn Willoughby,NYL,break,missed,21,missed,41.7,36
Jordin Canada,SEA,break,missed,10,missed,9.1,11
Joyner Holmes,NYL,break,missed,24,missed,7.7,26
Julie Allemand,IND,break,missed,47,missed,47.8,90
Kaela Davis,ATL,break,missed,0,missed,0,0
Kahleah Copper,CHI,break,missed,39,missed,32.8,58
Kaila Charles,CON,break,missed,18,missed,35.7,28
Kalani Brown,ATL,break,missed,0,missed,0,0
Kaleena Mosqueda-Lewis,CON,break,missed,33,missed,23.3,43
Kamiah Smalls,IND,break,missed,3,missed,66.7,9
Karima Christmas-Kelly,MIN,break,missed,3,missed,0,3
Kathleen Doyle,IND,break,missed,15,missed,25,20
Katie Lou Samuelson,DAL,break,missed,39,missed,32.8,58
Kayla Alexander,MIN,break,missed,0,missed,0,0
Kayla Mcbride,LVA,break,missed,45,missed,35.7,70
Kayla Thornton,DAL,break,missed,45,missed,33.8,68
Kelsey Mitchell,IND,break,missed,86,missed,39.4,142
Kennedy Burke,IND,break,missed,33,missed,28.3,46
Kia Nurse,NYL,break,missed,97,missed,23.6,127
Kia Vaughn,PHO,break,missed,2,missed,0,2
Kiah Stokes,NYL,break,missed,56,missed,26.3,76
Kiara Leslie,WAS,break,missed,28,missed,34.9,43
Kristine Anigwe,LAS,break,missed,0,missed,0,0
Kylee Shook,NYL,break,missed,13,missed,18.8,16
Lauren Cox,IND,break,missed,2,missed,60,5
Layshia Clarendon,NYL,break,missed,28,missed,34.9,43
Leaonna Odom,NYL,break,missed,13,missed,13.3,15
Leilani Mitchell,WAS,break,missed,62,missed,29.5,88
Lexie Brown,MIN,break,missed,35,missed,28.6,49
Lindsay Allen,LVA,break,missed,11,missed,31.3,16
Marie G‹Lich,LAS,break,missed,3,missed,0,3
Marina Mabrey,DAL,break,missed,52,missed,40.9,88
Megan Gustafson,DAL,break,missed,1,missed,0,1
Megan Huff,LVA,break,missed,1,missed,0,1
Megan Walker,NYL,break,missed,34,missed,15,40
Mercedes Russell,SEA,break,missed,0,missed,0,0
Mikiah Herbert Harrigan,MIN,break,missed,18,missed,41.9,31
Monique Billings,ATL,break,missed,0,missed,0,0
Morgan Tuck,SEA,break,missed,4,missed,33.3,6
Moriah Jefferson,DAL,break,missed,3,missed,40,5
Myisha Hines-Allen,WAS,break,missed,34,missed,43.3,60
Napheesa Collier,MIN,break,missed,28,missed,39.1,46
Natalie Achonwa,IND,break,missed,10,missed,0,10
Natasha Howard,SEA,break,missed,13,missed,31.6,19
Natisha Hiedeman,CON,break,missed,40,missed,36.5,63
Nia Coffey,PHO,break,missed,13,missed,35,20
Nneka Ogwumike,LAS,break,missed,9,missed,50,18
Odyssey Sims,MIN,break,missed,16,missed,33.3,24
Paris Kea,NYL,break,missed,20,missed,39.4,33
Rachel Banham,MIN,break,missed,28,missed,44,50
Reshanda Gray,LAS,break,missed,0,missed,0,0
Riquna Williams,LAS,break,missed,55,missed,39.6,91
Ruthy Hebard,CHI,break,missed,0,missed,0,0
Sabrina Ionescu,NYL,break,missed,12,missed,36.8,19
Sami Whitcomb,SEA,break,missed,46,missed,38.7,75
Satou Sabally,DAL,break,missed,50,missed,16.7,60
Seimone Augustus,LAS,break,missed,10,missed,54.5,22
